site_id,received_signal_dbm,path_loss_db,link_margin_db,coverage_radius_km,link_quality
BS1,-78.2,136.2,11.8,2.163,good
BS2,-78.2,136.2,11.8,2.163,good
BS3,-78.2,136.2,11.8,2.163,good
BS4,-78.2,136.2,11.8,2.163,good
BS5,-78.2,136.2,11.8,2.163,good
