year,utilisation
0.0,0.6
0.01002004008016032,0.6008408407863864
0.02004008016032064,0.6016828599281528
0.03006012024048096,0.6025260590766484
0.04008016032064128,0.6033704398855355
0.0501002004008016,0.604216004010795
0.06012024048096192,0.6050627531107279
0.07014028056112225,0.6059106888459591
0.08016032064128256,0.6067598128794411
0.09018036072144288,0.6076101268764565
0.1002004008016032,0.6084616325046218
0.11022044088176353,0.6093143314338905
0.12024048096192384,0.610168225336556
0.13026052104208416,0.6110233158872561
0.1402805611222445,0.6118796047629746
0.1503006012024048,0.6127370936430457
0.16032064128256512,0.6135957842091574
0.17034068136272545,0.6144556781453538
0.18036072144288576,0.6153167771380393
0.1903807615230461,0.6161790828759819
0.2004008016032064,0.6170425970503158
0.21042084168336672,0.6179073213545453
0.22044088176352705,0.618773257484548
0.23046092184368736,0.6196404071385785
0.24048096192384769,0.6205087720172705
0.250501002004008,0.6213783538236416
0.2605210420841683,0.622249154263096
0.27054108216432865,0.6231211750434275
0.280561122244489,0.6239944178748233
0.2905811623246493,0.6248688844698677
0.3006012024048096,0.6257445765435444
0.3106212424849699,0.626621495813241
0.32064128256513025,0.6274996439987514
0.3306613226452906,0.62837902282228
0.3406813627254509,0.6292596340084443
0.3507014028056112,0.6301414792842792
0.3607214428857715,0.6310245603792395
0.37074148296593185,0.6319088790252034
0.3807615230460922,0.6327944369564771
0.3907815631262525,0.6336812359097961
0.4008016032064128,0.6345692776243307
0.4108216432865731,0.6354585638416878
0.42084168336673344,0.6363490963059155
0.4308617234468938,0.6372408767635058
0.4408817635270541,0.6381339069633982
0.45090180360721444,0.6390281886569831
0.4609218436873747,0.6399237235981056
0.47094188376753504,0.6408205135430682
0.48096192384769537,0.641718560250635
0.4909819639278557,0.6426178654820349
0.501002004008016,0.6435184310009647
0.5110220440881763,0.6444202585735931
0.5210420841683366,0.6453233499685637
0.531062124248497,0.6462277069569988
0.5410821643286573,0.647133331312503
0.5511022044088176,0.6480402248111657
0.561122244488978,0.6489483892315662
0.5711422845691383,0.6498578263547756
0.5811623246492986,0.6507685379643615
0.5911823647294588,0.6516805258463907
0.6012024048096192,0.6525937917894331
0.6112224448897795,0.653508337584565
0.6212424849699398,0.6544241650253728
0.6312625250501002,0.6553412759079565
0.6412825651302605,0.656259672030933
0.6513026052104208,0.65717935519544
0.6613226452905812,0.6581003272051392
0.6713426853707415,0.6590225898662198
0.6813627254509018,0.6599461449874023
0.6913827655310621,0.6608709943799421
0.7014028056112224,0.6617971398576329
0.7114228456913827,0.6627245832368098
0.721442885771543,0.6636533263363539
0.7314629258517034,0.664583370977695
0.7414829659318637,0.6655147189848155
0.751503006012024,0.6664473721842535
0.7615230460921844,0.667381332405108
0.7715430861723447,0.6683166014790398
0.781563126252505,0.6692531812402778
0.7915831663326653,0.6701910735256206
0.8016032064128256,0.6711302801744413
0.8116232464929859,0.6720708030286907
0.8216432865731462,0.6730126439329007
0.8316633266533066,0.6739558047341884
0.8416833667334669,0.674900287282259
0.8517034068136272,0.6758460934294104
0.8617234468937875,0.6767932250305361
0.8717434869739479,0.6777416839431288
0.8817635270541082,0.6786914720272849
0.8917835671342685,0.6796425911457069
0.9018036072144289,0.6805950431637081
0.9118236472945891,0.6815488299492156
0.9218436873747494,0.6825039533727743
0.9318637274549098,0.6834604153075508
0.9418837675350701,0.684418217629336
0.9519038076152304,0.6853773622165505
0.9619238476953907,0.6863378509502465
0.9719438877755511,0.6872996857141128
0.9819639278557114,0.6882628683944778
0.9919839679358717,0.6892274008803135
1.002004008016032,0.690193285063239
1.0120240480961924,0.6911605228375243
1.0220440881763526,0.6921291161000942
1.032064128256513,0.6930990667505319
1.0420841683366733,0.6940703766910823
1.0521042084168337,0.6950430478266563
1.062124248496994,0.6960170820648347
1.0721442885771542,0.6969924813158709
1.0821643286573146,0.6979692474926961
1.0921843687374748,0.6989473825109217
1.1022044088176353,0.6999268882888436
1.1122244488977955,0.7009077667474467
1.122244488977956,0.7018900198104072
1.1322645290581161,0.7028736494040975
1.1422845691382766,0.7038586574575896
1.1523046092184368,0.7048450459026588
1.1623246492985972,0.7058328166737878
1.1723446893787575,0.70682197170817
1.1823647294589177,0.7078125129457138
1.1923847695390781,0.7088044423290462
1.2024048096192383,0.7097977618035165
1.2124248496993988,0.7107924733172002
1.222444889779559,0.7117885788209027
1.2324649298597194,0.7127860802681639
1.2424849699398797,0.7137849796152607
1.25250501002004,0.7147852788212115
1.2625250501002003,0.7157869798477806
1.2725450901803608,0.7167900846594812
1.282565130260521,0.7177945952235798
1.2925851703406812,0.7188005135100993
1.3026052104208417,0.719807841491824
1.3126252505010019,0.7208165811443025
1.3226452905811623,0.7218267344458521
1.3326653306613225,0.7228383033775624
1.342685370741483,0.7238512899232995
1.3527054108216432,0.7248656960697093
1.3627254509018036,0.7258815238062224
1.3727454909819639,0.7268987751250567
1.3827655310621243,0.7279174520212226
1.3927855711422845,0.7289375564925258
1.4028056112224447,0.7299590905395722
1.4128256513026052,0.7309820561657708
1.4228456913827654,0.7320064553773388
1.4328657314629258,0.7330322901833045
1.442885771543086,0.7340595625955119
1.4529058116232465,0.735088274628624
1.4629258517034067,0.7361184283001276
1.4729458917835672,0.7371500256303368
1.4829659318637274,0.7381830686423964
1.4929859719438878,0.7392175593622871
1.503006012024048,0.7402534998188285
1.5130260521042083,0.7412908920436835
1.5230460921843687,0.7423297380713619
1.533066132264529,0.7433700399392252
1.5430861723446894,0.7444117996874897
1.5531062124248496,0.7454550193592306
1.56312625250501,0.7464997010003869
1.5731462925851702,0.7475458466597642
1.5831663326653307,0.7485934583890398
1.593186372745491,0.7496425382427657
1.6032064128256511,0.7506930882783737
1.6132264529058116,0.7517451105561784
1.6232464929859718,0.7527986071393822
1.6332665330661322,0.7538535800940783
1.6432865731462925,0.7549100314892557
1.653306613226453,0.7559679633968033
1.6633266533066131,0.7570273778915124
1.6733466933867736,0.7580882770510831
1.6833667334669338,0.7591506629561263
1.6933867735470942,0.7602145376901693
1.7034068136272544,0.761279903339659
1.7134268537074147,0.7623467619939662
1.723446893787575,0.7634151157453899
1.7334669338677353,0.7644849666891609
1.7434869739478958,0.7655563169234468
1.753507014028056,0.7666291685493553
1.7635270541082164,0.7677035236709383
1.7735470941883766,0.7687793843951968
1.783567134268537,0.7698567528320843
1.7935871743486973,0.7709356310945114
1.8036072144288577,0.7720160212983495
1.813627254509018,0.7730979255624352
1.8236472945891782,0.7741813460085746
1.8336673346693386,0.7752662847615471
1.8436873747494988,0.7763527439491101
