timestamp_utc,x_km,y_km,rssi_dbm,sir_dB,sir_passes_18dB,cluster_K,sectors
2026-04-23T22:57:25.233Z,0.0,0.0,-116.27,20.28,1,7,3
2026-04-23T22:57:25.233Z,1.0,0.0,-115.53,20.28,1,7,3
2026-04-23T22:57:25.233Z,2.0,0.0,-114.83,20.28,1,7,3
2026-04-23T22:57:25.233Z,3.01,0.0,-114.19,20.28,1,7,3
2026-04-23T22:57:25.233Z,4.01,0.0,-113.61,20.28,1,7,3
2026-04-23T22:57:25.233Z,5.01,0.0,-113.14,20.28,1,7,3
2026-04-23T22:57:25.233Z,6.01,0.0,-112.78,20.28,1,7,3
2026-04-23T22:57:25.233Z,7.01,0.0,-112.56,20.28,1,7,3
2026-04-23T22:57:25.233Z,8.02,0.0,-112.48,20.28,1,7,3
2026-04-23T22:57:25.233Z,9.02,0.0,-112.56,20.28,1,7,3
2026-04-23T22:57:25.233Z,10.02,0.0,-112.79,20.28,1,7,3
2026-04-23T22:57:25.233Z,11.02,0.0,-113.15,20.28,1,7,3
2026-04-23T22:57:25.233Z,12.02,0.0,-113.63,20.28,1,7,3
2026-04-23T22:57:25.233Z,13.03,0.0,-114.21,20.28,1,7,3
2026-04-23T22:57:25.233Z,14.03,0.0,-114.85,20.28,1,7,3
2026-04-23T22:57:25.233Z,15.03,0.0,-115.56,20.28,1,7,3
2026-04-23T22:57:25.233Z,16.03,0.0,-115.29,20.28,1,7,3
2026-04-23T22:57:25.233Z,17.03,0.0,-114.34,20.28,1,7,3
2026-04-23T22:57:25.233Z,18.04,0.0,-113.38,20.28,1,7,3
2026-04-23T22:57:25.233Z,19.04,0.0,-112.45,20.28,1,7,3
2026-04-23T22:57:25.233Z,20.04,0.0,-111.56,20.28,1,7,3
2026-04-23T22:57:25.233Z,21.04,0.0,-110.74,20.28,1,7,3
2026-04-23T22:57:25.233Z,22.04,0.0,-110.05,20.28,1,7,3
2026-04-23T22:57:25.233Z,23.05,0.0,-109.51,20.28,1,7,3
2026-04-23T22:57:25.233Z,24.05,0.0,-109.18,20.28,1,7,3
2026-04-23T22:57:25.233Z,25.05,0.0,-109.07,20.28,1,7,3
2026-04-23T22:57:25.233Z,26.05,0.0,-109.2,20.28,1,7,3
2026-04-23T22:57:25.233Z,27.05,0.0,-109.56,20.28,1,7,3
2026-04-23T22:57:25.233Z,28.06,0.0,-110.11,20.28,1,7,3
